ID,Temporary_ID,Stock,Infection_Status,Date_Iso,Clutch_Num,Death_Date,Date_Gravid,Date_Drop,Clutch_Est_R,Clutch_Est_L,Inf_Intensity,Strain,Clutch_Tot,Clutch_Sym,Holding_Time,Next_Date_Gravid,Time_Between_Clutches,age_post_iso,Maximum_Dens,DOB,prp_survival,Treatment_Fine,is_post,Clutch_Tot_post,Maximum_Dens_post,prp_survival_post,PostTreat_Eggs_Ind,PostTreat_Nauplii_Ind,has_post_clutch,has_post_hatch,Oldest_nonzero_F1_minusfirst
GR_110D,110D,Dii,EXP,2025-06-04T00:00:00Z,9,NA,2025-08-13T00:00:00Z,2025-08-15T00:00:00Z,2,4,NA,MER,6,0.5,2,2025-09-01T00:00:00Z,17,NA,0,2025-08-28T00:00:00Z,0,EXP_MER,TRUE,6,0,0,290,82,TRUE,TRUE,65
GR_110D,110D,Dii,EXP,2025-06-04T00:00:00Z,10,NA,2025-09-01T00:00:00Z,2025-09-05T00:00:00Z,8,6,NA,MER,14,0.75,4,2025-09-08T00:00:00Z,3,NA,0,2025-08-28T00:00:00Z,0,EXP_MER,TRUE,14,0,0,290,82,TRUE,TRUE,65
GR_110D,110D,Dii,EXP,2025-06-04T00:00:00Z,11,2025-10-06T00:00:00Z,2025-09-08T00:00:00Z,2025-09-13T00:00:00Z,1,5,NA,MER,6,0.2,5,NA,NA,124,0,2025-08-28T00:00:00Z,0,EXP_MER,TRUE,6,0,0,290,82,TRUE,TRUE,65
GR_111D,111D,Dii,INF,2025-06-04T00:00:00Z,1,NA,2025-06-04T00:00:00Z,2025-06-06T00:00:00Z,34,34,1,MER,68,1,2,2025-06-11T00:00:00Z,5,NA,26,2025-06-06T00:00:00Z,0.38235294117647056,INF,FALSE,NA,NA,NA,2,0,TRUE,FALSE,0
GR_111D,111D,Dii,INF,2025-06-04T00:00:00Z,2,2025-08-04T00:00:00Z,2025-06-11T00:00:00Z,2025-06-16T00:00:00Z,1,1,NA,MER,2,1,5,NA,NA,61,0,NA,0,INF,TRUE,2,0,0,2,0,TRUE,FALSE,0
GR_112D,112D,Dii,INF,2025-06-04T00:00:00Z,1,NA,2025-06-04T00:00:00Z,2025-06-06T00:00:00Z,30,30,1,MER,60,1,2,2025-06-11T00:00:00Z,5,NA,40,2025-06-06T00:00:00Z,0.6666666666666666,INF,FALSE,NA,NA,NA,14,0,TRUE,FALSE,0
GR_112D,112D,Dii,INF,2025-06-04T00:00:00Z,2,2025-07-29T00:00:00Z,2025-06-11T00:00:00Z,2025-06-20T00:00:00Z,6,8,NA,MER,14,0.75,9,NA,NA,55,0,2025-06-20T00:00:00Z,0,INF,TRUE,14,0,0,14,0,TRUE,FALSE,0
GR_113D,113D,Dii,EXP,2025-06-04T00:00:00Z,1,NA,2025-06-04T00:00:00Z,2025-06-06T00:00:00Z,36,34,0,MER,70,0.9444444444444444,2,2025-06-10T00:00:00Z,4,NA,25,2025-06-06T00:00:00Z,0.35714285714285715,EXP_MER,FALSE,NA,NA,NA,126,38,TRUE,TRUE,36
GR_113D,113D,Dii,EXP,2025-06-04T00:00:00Z,2,NA,2025-06-10T00:00:00Z,2025-06-13T00:00:00Z,28,24,NA,MER,52,0.8571428571428571,3,2025-06-17T00:00:00Z,4,NA,16,2025-06-13T00:00:00Z,0.3076923076923077,EXP_MER,TRUE,52,16,0.3076923076923077,126,38,TRUE,TRUE,36
GR_113D,113D,Dii,EXP,2025-06-04T00:00:00Z,3,NA,2025-06-17T00:00:00Z,2025-06-19T00:00:00Z,22,28,NA,MER,50,0.7857142857142857,2,2025-06-26T00:00:00Z,7,NA,16,2025-06-19T00:00:00Z,0.32,EXP_MER,TRUE,50,16,0.32,126,38,TRUE,TRUE,36
GR_113D,113D,Dii,EXP,2025-06-04T00:00:00Z,4,NA,2025-06-26T00:00:00Z,2025-06-30T00:00:00Z,10,12,NA,MER,22,0.8333333333333334,4,2025-07-08T00:00:00Z,8,NA,5,2025-06-30T00:00:00Z,0.2272727272727273,EXP_MER,TRUE,22,5,0.2272727272727273,126,38,TRUE,TRUE,36
GR_113D,113D,Dii,EXP,2025-06-04T00:00:00Z,5,2025-07-10T00:00:00Z,2025-07-08T00:00:00Z,2025-07-10T00:00:00Z,1,1,NA,MER,2,1,2,NA,NA,36,1,2025-07-10T00:00:00Z,0.5,EXP_MER,TRUE,2,1,0.5,126,38,TRUE,TRUE,36
GR_115D,115D,Dii,EXP,2025-06-04T00:00:00Z,1,NA,2025-06-04T00:00:00Z,2025-06-06T00:00:00Z,30,34,0,MER,64,0.8823529411764706,2,2025-06-11T00:00:00Z,5,NA,25,2025-06-06T00:00:00Z,0.390625,EXP_MER,FALSE,NA,NA,NA,256,52,TRUE,TRUE,54
GR_115D,115D,Dii,EXP,2025-06-04T00:00:00Z,2,NA,2025-06-11T00:00:00Z,2025-06-16T00:00:00Z,32,28,NA,MER,60,0.875,5,2025-06-18T00:00:00Z,2,NA,21,2025-06-16T00:00:00Z,0.35,EXP_MER,TRUE,60,21,0.35,256,52,TRUE,TRUE,54
GR_115D,115D,Dii,EXP,2025-06-04T00:00:00Z,3,NA,2025-06-18T00:00:00Z,2025-06-20T00:00:00Z,32,28,NA,MER,60,0.875,2,2025-06-25T00:00:00Z,5,NA,20,2025-06-20T00:00:00Z,0.3333333333333333,EXP_MER,TRUE,60,20,0.3333333333333333,256,52,TRUE,TRUE,54
GR_115D,115D,Dii,EXP,2025-06-04T00:00:00Z,4,NA,2025-06-25T00:00:00Z,2025-06-30T00:00:00Z,8,10,NA,MER,18,0.8,5,2025-07-06T00:00:00Z,6,NA,3,2025-06-30T00:00:00Z,0.16666666666666666,EXP_MER,TRUE,18,3,0.16666666666666666,256,52,TRUE,TRUE,54
GR_115D,115D,Dii,EXP,2025-06-04T00:00:00Z,5,NA,2025-07-06T00:00:00Z,2025-07-08T00:00:00Z,10,12,NA,MER,22,0.8333333333333334,2,2025-07-11T00:00:00Z,3,NA,5,2025-07-08T00:00:00Z,0.2272727272727273,EXP_MER,TRUE,22,5,0.2272727272727273,256,52,TRUE,TRUE,54
GR_115D,115D,Dii,EXP,2025-06-04T00:00:00Z,6,NA,2025-07-11T00:00:00Z,2025-07-14T00:00:00Z,14,12,NA,MER,26,0.8571428571428571,3,2025-07-21T00:00:00Z,7,NA,2,2025-07-14T00:00:00Z,0.07692307692307693,EXP_MER,TRUE,26,2,0.07692307692307693,256,52,TRUE,TRUE,54
GR_115D,115D,Dii,EXP,2025-06-04T00:00:00Z,7,NA,2025-07-21T00:00:00Z,2025-07-23T00:00:00Z,6,6,NA,MER,12,1,2,2025-07-25T00:00:00Z,2,NA,0,2025-07-23T00:00:00Z,0,EXP_MER,TRUE,12,0,0,256,52,TRUE,TRUE,54
GR_115D,115D,Dii,EXP,2025-06-04T00:00:00Z,8,NA,2025-07-25T00:00:00Z,2025-07-28T00:00:00Z,12,16,NA,MER,28,0.75,3,2025-07-30T00:00:00Z,2,NA,1,2025-07-28T00:00:00Z,0.03571428571428571,EXP_MER,TRUE,28,1,0.03571428571428571,256,52,TRUE,TRUE,54
GR_115D,115D,Dii,EXP,2025-06-04T00:00:00Z,9,2025-07-31T00:00:00Z,2025-07-30T00:00:00Z,2025-07-31T00:00:00Z,12,18,NA,MER,30,0.6666666666666666,1,NA,NA,57,0,2025-07-31T00:00:00Z,0,EXP_MER,TRUE,30,0,0,256,52,TRUE,TRUE,54
GR_117D,117D,Dii,EXP,2025-06-04T00:00:00Z,1,NA,2025-06-04T00:00:00Z,2025-06-06T00:00:00Z,38,36,0,MER,74,0.9473684210526316,2,2025-06-12T00:00:00Z,6,NA,28,2025-06-06T00:00:00Z,0.3783783783783784,EXP_MER,FALSE,NA,NA,NA,150,37,TRUE,TRUE,27
GR_117D,117D,Dii,EXP,2025-06-04T00:00:00Z,2,NA,2025-06-12T00:00:00Z,2025-06-16T00:00:00Z,32,36,NA,MER,68,0.8888888888888888,4,2025-06-19T00:00:00Z,3,NA,11,2025-06-16T00:00:00Z,0.16176470588235295,EXP_MER,TRUE,68,11,0.16176470588235295,150,37,TRUE,TRUE,27
GR_117D,117D,Dii,EXP,2025-06-04T00:00:00Z,3,NA,2025-06-19T00:00:00Z,2025-06-23T00:00:00Z,20,22,NA,MER,42,0.9090909090909092,4,2025-06-26T00:00:00Z,3,NA,4,2025-06-23T00:00:00Z,0.09523809523809525,EXP_MER,TRUE,42,4,0.09523809523809525,150,37,TRUE,TRUE,27
GR_117D,117D,Dii,EXP,2025-06-04T00:00:00Z,4,NA,2025-06-26T00:00:00Z,2025-07-01T00:00:00Z,16,24,NA,MER,40,0.6666666666666666,5,2025-07-06T00:00:00Z,5,NA,22,2025-07-01T00:00:00Z,0.55,EXP_MER,TRUE,40,22,0.55,150,37,TRUE,TRUE,27
GR_117D,117D,Dii,EXP,2025-06-04T00:00:00Z,5,2025-07-14T00:00:00Z,2025-07-06T00:00:00Z,2025-07-08T00:00:00Z,0,0,NA,MER,0,NA,2,NA,NA,40,0,2025-07-08T00:00:00Z,NA,EXP_MER,TRUE,0,0,NA,150,37,TRUE,TRUE,27
GR_119E,119E,Eii,INF,2025-06-04T00:00:00Z,1,2025-07-06T00:00:00Z,2025-06-04T00:00:00Z,2025-06-06T00:00:00Z,30,28,2,MER,58,0.9333333333333332,2,NA,NA,32,26,2025-06-06T00:00:00Z,0.4482758620689655,INF,FALSE,NA,NA,NA,0,0,FALSE,FALSE,0
GR_11E,11,Eii,UNEX,2025-01-21T00:00:00Z,1,NA,2025-01-21T00:00:00Z,2025-01-22T00:00:00Z,26,28,NA,NA,54,0.9285714285714286,1,2025-01-25T00:00:00Z,3,NA,25,2025-01-22T00:00:00Z,0.46296296296296297,UNEX,FALSE,NA,NA,NA,118,18,TRUE,TRUE,15
GR_11E,11,Eii,UNEX,2025-01-21T00:00:00Z,2,NA,2025-01-25T00:00:00Z,2025-01-27T00:00:00Z,24,26,NA,NA,50,0.9230769230769232,2,2025-01-29T00:00:00Z,2,NA,15,2025-01-27T00:00:00Z,0.3,UNEX,TRUE,50,15,0.3,118,18,TRUE,TRUE,15
GR_11E,11,Eii,UNEX,2025-01-21T00:00:00Z,3,NA,2025-01-29T00:00:00Z,2025-01-31T00:00:00Z,22,20,NA,NA,42,0.9090909090909092,2,2025-02-04T00:00:00Z,4,NA,0,2025-01-31T00:00:00Z,0,UNEX,TRUE,42,0,0,118,18,TRUE,TRUE,15
GR_11E,11,Eii,UNEX,2025-01-21T00:00:00Z,4,NA,2025-02-04T00:00:00Z,2025-02-05T00:00:00Z,10,8,NA,NA,18,0.8,1,2025-02-09T00:00:00Z,4,NA,3,2025-02-05T00:00:00Z,0.16666666666666666,UNEX,TRUE,18,3,0.16666666666666666,118,18,TRUE,TRUE,15
GR_11E,11,Eii,UNEX,2025-01-21T00:00:00Z,5,2025-02-14T00:00:00Z,2025-02-09T00:00:00Z,NA,4,4,NA,NA,8,1,NA,NA,NA,24,0,NA,0,UNEX,TRUE,8,0,0,118,18,TRUE,TRUE,15
GR_120E,120E,Eii,EXP,2025-06-04T00:00:00Z,1,NA,2025-06-04T00:00:00Z,2025-06-06T00:00:00Z,28,28,0,MER,56,1,2,2025-06-12T00:00:00Z,6,NA,18,2025-06-08T00:00:00Z,0.32142857142857145,EXP_MER,FALSE,NA,NA,NA,26,0,TRUE,FALSE,0
GR_120E,120E,Eii,EXP,2025-06-04T00:00:00Z,2,NA,2025-06-12T00:00:00Z,2025-06-23T00:00:00Z,12,14,NA,MER,26,0.8571428571428571,11,2025-06-30T00:00:00Z,7,NA,0,2025-06-23T00:00:00Z,0,EXP_MER,TRUE,26,0,0,26,0,TRUE,FALSE,0
GR_120E,120E,Eii,EXP,2025-06-04T00:00:00Z,3,2025-07-14T00:00:00Z,2025-06-30T00:00:00Z,2025-07-06T00:00:00Z,0,0,NA,MER,0,NA,6,NA,NA,40,0,2025-07-06T00:00:00Z,NA,EXP_MER,TRUE,0,0,NA,26,0,TRUE,FALSE,0
GR_121E,121E,Eii,EXP,2025-06-04T00:00:00Z,1,NA,2025-06-04T00:00:00Z,2025-06-06T00:00:00Z,30,30,0,MER,60,1,2,2025-06-12T00:00:00Z,6,NA,7,2025-06-08T00:00:00Z,0.11666666666666668,EXP_MER,FALSE,NA,NA,NA,126,18,TRUE,TRUE,35
GR_121E,121E,Eii,EXP,2025-06-04T00:00:00Z,2,NA,2025-06-12T00:00:00Z,2025-06-16T00:00:00Z,20,18,NA,MER,38,0.9,4,2025-06-20T00:00:00Z,4,NA,12,2025-06-16T00:00:00Z,0.3157894736842105,EXP_MER,TRUE,38,12,0.3157894736842105,126,18,TRUE,TRUE,35
GR_121E,121E,Eii,EXP,2025-06-04T00:00:00Z,3,NA,2025-06-20T00:00:00Z,2025-06-23T00:00:00Z,26,22,NA,MER,48,0.8461538461538461,3,2025-06-26T00:00:00Z,3,NA,5,2025-06-23T00:00:00Z,0.10416666666666669,EXP_MER,TRUE,48,5,0.10416666666666669,126,18,TRUE,TRUE,35
GR_121E,121E,Eii,EXP,2025-06-04T00:00:00Z,4,NA,2025-06-26T00:00:00Z,2025-06-30T00:00:00Z,8,8,NA,MER,16,1,4,2025-07-01T00:00:00Z,1,NA,0,2025-06-30T00:00:00Z,0,EXP_MER,TRUE,16,0,0,126,18,TRUE,TRUE,35
GR_121E,121E,Eii,EXP,2025-06-04T00:00:00Z,5,NA,2025-07-01T00:00:00Z,2025-07-03T00:00:00Z,8,6,NA,MER,14,0.75,2,2025-07-07T00:00:00Z,4,NA,0,2025-07-03T00:00:00Z,0,EXP_MER,TRUE,14,0,0,126,18,TRUE,TRUE,35
GR_121E,121E,Eii,EXP,2025-06-04T00:00:00Z,6,2025-07-21T00:00:00Z,2025-07-07T00:00:00Z,2025-07-09T00:00:00Z,4,6,NA,MER,10,0.6666666666666666,2,NA,NA,47,1,2025-07-09T00:00:00Z,0.1,EXP_MER,TRUE,10,1,0.1,126,18,TRUE,TRUE,35
GR_122E,122E,Eii,EXP,2025-06-04T00:00:00Z,1,NA,2025-06-04T00:00:00Z,2025-06-06T00:00:00Z,26,30,NA,MER,56,0.8666666666666667,2,2025-06-11T00:00:00Z,5,NA,16,2025-06-06T00:00:00Z,0.2857142857142857,EXP_MER,FALSE,NA,NA,NA,153,71,TRUE,TRUE,34
GR_122E,122E,Eii,EXP,2025-06-04T00:00:00Z,2,NA,2025-06-11T00:00:00Z,2025-06-13T00:00:00Z,28,30,NA,MER,58,0.9333333333333332,2,2025-06-17T00:00:00Z,4,NA,27,2025-06-13T00:00:00Z,0.46551724137931033,EXP_MER,TRUE,58,27,0.46551724137931033,153,71,TRUE,TRUE,34
GR_122E,122E,Eii,EXP,2025-06-04T00:00:00Z,3,NA,2025-06-17T00:00:00Z,2025-06-19T00:00:00Z,16,26,NA,MER,42,0.6153846153846154,2,2025-06-25T00:00:00Z,6,NA,15,2025-06-19T00:00:00Z,0.35714285714285715,EXP_MER,TRUE,42,15,0.35714285714285715,153,71,TRUE,TRUE,34
GR_122E,122E,Eii,EXP,2025-06-04T00:00:00Z,4,NA,2025-06-25T00:00:00Z,2025-06-30T00:00:00Z,5,6,NA,MER,11,0.8333333333333334,5,2025-07-06T00:00:00Z,6,NA,11,2025-06-30T00:00:00Z,1,EXP_MER,TRUE,11,11,1,153,71,TRUE,TRUE,34
GR_122E,122E,Eii,EXP,2025-06-04T00:00:00Z,5,2025-08-22T00:00:00Z,2025-07-06T00:00:00Z,2025-07-08T00:00:00Z,20,22,NA,MER,42,0.9090909090909092,2,NA,NA,79,18,2025-07-08T00:00:00Z,0.42857142857142855,EXP_MER,TRUE,42,18,0.42857142857142855,153,71,TRUE,TRUE,34
GR_123E,123E,Eii,INF,2025-06-04T00:00:00Z,1,NA,2025-06-04T00:00:00Z,2025-06-06T00:00:00Z,38,36,2,MER,74,0.9473684210526316,2,2025-06-16T00:00:00Z,10,NA,18,2025-06-08T00:00:00Z,0.24324324324324328,INF,FALSE,NA,NA,NA,12,0,TRUE,FALSE,0
GR_123E,123E,Eii,INF,2025-06-04T00:00:00Z,2,2025-07-28T00:00:00Z,2025-06-16T00:00:00Z,2025-06-26T00:00:00Z,10,2,NA,MER,12,0.2,10,NA,NA,54,0,2025-06-26T00:00:00Z,0,INF,TRUE,12,0,0,12,0,TRUE,FALSE,0
